Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018
Kyrgyzstan,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,55
Lao People's Democratic Republic,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,-17
Latvia,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <200,<100 ,<100 , <100,<100 ,<100 , <100,-65
Lebanon,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-8
Lesotho,7200 ,5600 , 10 000,6500 ,5000 , 9100,6500 ,5000 , 9300,7000 ,5400 , 9900,7300 ,5700 , 10 000,8200 ,6600 , 11 000,7900 ,6300 , 10 000,6800 ,5600 , 8800,6100 ,5000 , 7600,-16
Liberia,2700 ,2600 , 2900,2400 ,2300 , 2600,2300 ,2100 , 2500,2300 ,2100 , 2500,2300 ,2100 , 2500,2300 ,2100 , 2500,2400 ,2200 , 2500,2200 ,2000 , 2300,1800 ,1700 , 1900,-34
Libya,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <200,57
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Luxembourg,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-14
Madagascar,1400 ,1000 , 1700,1400 ,1100 , 1700,1400 ,1100 , 1700,1500 ,1200 , 1800,1500 ,1200 , 1900,1600 ,1200 , 2000,1600 ,1200 , 2000,1600 ,1200 , 2200,1700 ,1200 , 2300,22
Malawi,29 000 ,25 000 , 33 000,26 000 ,22 000 , 30 000,22 000 ,19 000 , 26 000,18 000 ,15 000 , 22 000,16 000 ,13 000 , 19 000,14 000 ,12 000 , 18 000,14 000 ,11 000 , 17 000,14 000 ,11 000 , 17 000,13 000 ,11 000 , 16 000,-55
Malaysia,2900 ,2400 , 3300,3000 ,2500 , 3500,3200 ,2700 , 3600,3500 ,3000 , 4000,3700 ,3200 , 4200,3600 ,3100 , 4100,3300 ,2700 , 3800,2700 ,2200 , 3300,2600 ,2100 , 3300,-9
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Mali,5300 ,4100 , 6700,5000 ,3800 , 6400,4700 ,3600 , 6100,5300 ,3900 , 6900,6000 ,4400 , 7800,6500 ,4800 , 8400,6500 ,4900 , 8500,6500 ,5000 , 8600,6500 ,5000 , 8700,24
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Mauritania,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,-25
Mauritius,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,25
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Mongolia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,31
Montenegro,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,100
Morocco,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,-40
Mozambique,64 000 ,46 000 , 87 000,64 000 ,46 000 , 87 000,66 000 ,47 000 , 89 000,66 000 ,48 000 , 90 000,65 000 ,47 000 , 88 000,59 000 ,42 000 , 80 000,56 000 ,40 000 , 76 000,55 000 ,39 000 , 74 000,54 000 ,39 000 , 73 000,-16
Myanmar,11 000 ,9600 , 13 000,11 000 ,9400 , 13 000,11 000 ,8800 , 13 000,10 000 ,8200 , 12 000,9800 ,7900 , 12 000,9500 ,7400 , 12 000,9000 ,6800 , 12 000,8400 ,6200 , 11 000,7800 ,5900 , 11 000,-30
Namibia,3500 ,3000 , 3900,3400 ,2900 , 3800,3000 ,2600 , 3400,2800 ,2500 , 3200,2600 ,2300 , 3000,2500 ,2200 , 3000,2600 ,2200 , 3000,2600 ,2200 , 3000,2700 ,2300 , 3200,-22
Nepal,1400 ,1200 , 1700,1400 ,1200 , 1700,1300 ,1100 , 1600,1300 ,1000 , 1500,1200 ,1000 , 1500,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1000 ,<1000 , 1300,<1000 ,<1000 , 1200,-37
Netherlands,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,... ,... , ...,...
New Zealand,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-13
Nicaragua,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,-31
Niger,1700 ,1300 , 2100,1600 ,1200 , 2000,1400 ,1100 , 1800,1300 ,<1000 , 1700,1300 ,<1000 , 1700,1500 ,1200 , 2000,1600 ,1300 , 2200,1500 ,1100 , 2000,1200 ,<1000 , 1700,-26
Nigeria,72 000 ,42 000 , 120 000,72 000 ,42 000 , 120 000,70 000 ,41 000 , 120 000,63 000 ,37 000 , 100 000,55 000 ,32 000 , 92 000,51 000 ,30 000 , 85 000,50 000 ,29 000 , 84 000,51 000 ,30 000 , 85 000,53 000 ,31 000 , 89 000,-26
North Macedonia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-25
Norway,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-20
Oman,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,18
Pakistan,1400 ,<1000 , 1900,1900 ,1300 , 2500,2600 ,1900 , 3400,3300 ,2400 , 4100,4100 ,3200 , 5100,4700 ,3700 , 5800,5400 ,4300 , 6500,6000 ,4800 , 7100,6400 ,5200 , 7600,369
Panama,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,-9
Papua New Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Paraguay,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1500,<1000 ,<1000 , 1600,<1000 ,<500 , 1200,-10
Peru,2100 ,1400 , 3300,1500 ,<1000 , 2500,1400 ,<1000 , 2500,1300 ,<1000 , 2300,1300 ,<1000 , 2500,1300 ,<1000 , 2400,1500 ,<1000 , 2700,1200 ,<1000 , 2300,1000 ,<1000 , 1900,-50
Philippines,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1300,1000 ,<1000 , 1500,1200 ,<1000 , 1700,285
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Portugal,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <500,-62
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Republic of Moldova,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,-23
Romania,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,8
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Rwanda,5700 ,4700 , 7100,5000 ,4000 , 6200,4500 ,3600 , 5600,4100 ,3200 , 5100,3700 ,2900 , 4500,3400 ,2700 , 4200,3200 ,2600 , 3900,3100 ,2500 , 3800,2900 ,2400 , 3500,-50
Saint Kitts and Nevis,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,
Saint Lucia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,
Saint Vincent and the Grenadines,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,
Sao Tome and Principe,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Senegal,1300 ,<1000 , 1800,1400 ,1000 , 1800,1400 ,1100 , 1900,1600 ,1200 , 2100,1800 ,1400 , 2300,1700 ,1300 , 2200,1600 ,1200 , 2000,1400 ,1200 , 1800,1300 ,1000 , 1600,-4
Serbia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,64
Sierra Leone,2900 ,2400 , 3600,2700 ,2200 , 3400,2500 ,2000 , 3200,2500 ,1900 , 3200,2700 ,2100 , 3500,2800 ,2200 , 3500,2700 ,2100 , 3400,2400 ,1900 , 3100,2100 ,1600 , 2800,-27
Singapore,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,-40
Slovakia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,50
Slovenia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,29
Somalia,1400 ,1200 , 1700,1300 ,1100 , 1500,1200 ,1100 , 1500,1100 ,<1000 , 1400,1100 ,<1000 , 1300,1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,-49
South Africa,140 000 ,110 000 , 170 000,120 000 ,99 000 , 150 000,100 000 ,81 000 , 120 000,88 000 ,70 000 , 110 000,80 000 ,63 000 , 100 000,75 000 ,58 000 , 96 000,74 000 ,55 000 , 95 000,71 000 ,53 000 , 92 000,71 000 ,52 000 , 91 000,-50
South Sudan,9800 ,7300 , 13 000,10 000 ,7800 , 13 000,10 000 ,8000 , 13 000,11 000 ,8000 , 13 000,10 000 ,7700 , 13 000,9800 ,7200 , 12 000,9300 ,6600 , 12 000,10 000 ,7000 , 13 000,9900 ,6900 , 13 000,
Spain,1300 ,1100 , 1700,1200 ,<1000 , 1600,1100 ,<1000 , 1500,1100 ,<1000 , 1500,1100 ,<1000 , 1500,1200 ,<1000 , 1500,1200 ,<1000 , 1600,1000 ,<1000 , 1400,... ,... , ...,...
Sri Lanka,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,-25
Sudan,1900 ,1300 , 2600,2200 ,1600 , 2900,2500 ,1900 , 3300,2600 ,2000 , 3500,2800 ,2000 , 4000,3000 ,2100 , 4500,2900 ,1900 , 4600,2800 ,1600 , 4800,2900 ,1400 , 5200,52
Suriname,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <200,-37
Sweden,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Switzerland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Syrian Arab Republic,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,20
Tajikistan,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,-14
Thailand,27 000 ,19 000 , 36 000,25 000 ,18 000 , 34 000,23 000 ,16 000 , 32 000,23 000 ,15 000 , 32 000,22 000 ,15 000 , 32 000,21 000 ,14 000 , 31 000,20 000 ,14 000 , 30 000,20 000 ,14 000 , 29 000,18 000 ,13 000 , 26 000,-32
Timor-Leste,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Togo,5700 ,5100 , 6300,4900 ,4300 , 5400,4600 ,4100 , 5100,4500 ,4000 , 5000,4800 ,4300 , 5400,4900 ,4300 , 5400,4600 ,4000 , 5100,4100 ,3600 , 4500,3800 ,3300 , 4200,-34
Trinidad and Tobago,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Tunisia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,306
Turkey,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Turkmenistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Uganda,56 000 ,48 000 , 66 000,51 000 ,44 000 , 62 000,47 000 ,40 000 , 57 000,41 000 ,34 000 , 50 000,35 000 ,29 000 , 44 000,30 000 ,25 000 , 38 000,26 000 ,21 000 , 35 000,25 000 ,20 000 , 34 000,23 000 ,19 000 , 31 000,-58
Ukraine,12 000 ,10 000 , 15 000,12 000 ,10 000 , 14 000,12 000 ,9900 , 14 000,9900 ,8300 , 12 000,8400 ,6900 , 10 000,7800 ,6300 , 9900,8300 ,6500 , 10 000,6900 ,5200 , 8800,6100 ,4700 , 8000,-51
United Arab Emirates,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
United Kingdom,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,<200 ,<200 , <500,... ,... , ...,...
United Republic of Tanzania,48 000 ,42 000 , 53 000,44 000 ,38 000 , 49 000,46 000 ,40 000 , 52 000,38 000 ,33 000 , 43 000,32 000 ,28 000 , 37 000,29 000 ,25 000 , 34 000,27 000 ,23 000 , 31 000,24 000 ,21 000 , 29 000,24 000 ,20 000 , 29 000,-49
United States,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Uruguay,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<100 , <500,-35
Uzbekistan,1800 ,1700 , 1900,1900 ,1800 , 2100,2100 ,2000 , 2200,1900 ,1800 , 2100,1800 ,1700 , 2000,1800 ,1600 , 2000,1700 ,1500 , 1800,1600 ,1400 , 1800,1300 ,1100 , 1500,-28
Venezuela (Bolivarian Republic of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Viet Nam,8500 ,6400 , 9800,8300 ,6300 , 9500,7400 ,5600 , 8800,6800 ,5000 , 8200,6400 ,4600 , 7900,6100 ,4400 , 7700,5300 ,3800 , 6800,5000 ,3400 , 6500,4700 ,3200 , 6200,-45
Yemen,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,152
Zambia,26 000 ,21 000 , 35 000,24 000 ,19 000 , 31 000,23 000 ,18 000 , 30 000,21 000 ,16 000 , 27 000,19 000 ,15 000 , 25 000,18 000 ,15 000 , 24 000,17 000 ,14 000 , 23 000,16 000 ,13 000 , 21 000,17 000 ,13 000 , 22 000,-37
Zimbabwe,54 000 ,43 000 , 68 000,42 000 ,33 000 , 52 000,34 000 ,27 000 , 42 000,28 000 ,23 000 , 35 000,25 000 ,20 000 , 32 000,24 000 ,19 000 , 30 000,23 000 ,18 000 , 28 000,23 000 ,18 000 , 29 000,22 000 ,17 000 , 27 000,-60
Global,1 200 000 ,860 000,1 600 000,1 100 000 ,810 000,1 500 000,1 000 000 ,770 000,1 400 000,970 000 ,720 000,1 300 000,920 000 ,680 000,1 300 000,880 000 ,650 000,1 200 000,840 000 ,620 000,1 100 000,800 000 ,600 000,1 100 000,770 000 ,570 000,1 100 000,-33