Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Afghanistan,... ,... , ...,... ,... , ...,37 ,21 , 58,38 ,21 , 60
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,86 ,80 , 92,86 ,80 , 91,86 ,81 , 92,86 ,81 , 92
Angola,36 ,31 , 42,36 ,32 , 42,39 ,34 , 46,42 ,36 , 50
Antigua and Barbuda,,,,,,,,,,... ,... , ...
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,52 ,44 , 62,57 ,49 , 69,65 ,54 , 78,73 ,61 , 90
Australia,90 ,77 , >95,91 ,77 , >95,92 ,78 , >95,... ,... , ...
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,31 ,27 , 36,32 ,28 , 37,36 ,32 , 41,37 ,32 , 42
Barbados,71 ,63 , 79,71 ,63 , 80,70 ,61 , 78,... ,... , ...
Belarus,... ,... , ...,... ,... , ...,... ,... , ...,79 ,65 , >95
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,52 ,47 , 57,52 ,48 , 58,53 ,48 , 58,49 ,44 , 53
Benin,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bhutan,35 ,18 , 71,39 ,21 , 77,44 ,23 , 90,47 ,25 , >95
Bolivia (Plurinational State of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,86 ,77 , 92,87 ,78 , 93,88 ,79 , 95,91 ,82 , >95
Brazil,79 ,61 , >95,83 ,64 , >95,84 ,65 , >95,85 ,66 , >95
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,82 ,73 , 91,82 ,73 , 92,81 ,71 , 93,83 ,71 , >95
Burkina Faso,57 ,47 , 69,60 ,49 , 72,65 ,53 , 79,70 ,57 , 85
Burundi,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cabo Verde,84 ,72 , >95,89 ,76 , >95,91 ,77 , >95,>95 ,81 , >95
Cambodia,76 ,67 , 88,79 ,68 , 90,80 ,69 , 91,82 ,71 , 93
Cameroon,64 ,56 , 70,68 ,59 , 73,71 ,62 , 77,74 ,65 , 81
Canada,... ,... , ...,86 ,75 , >95,... ,... , ...,... ,... , ...
Central African Republic,48 ,40 , 58,50 ,41 , 61,52 ,44 , 65,55 ,46 , 69
Chad,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chile,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Comoros,56 ,27 , >95,66 ,33 , >95,83 ,41 , >95,86 ,43 , >95
Congo,37 ,30 , 45,38 ,30 , 47,38 ,30 , 49,39 ,30 , 51
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,72 ,65 , 80,75 ,68 , 84,79 ,70 , 87,... ,... , ...
Cuba,75 ,58 , 90,77 ,59 , 92,80 ,61 , >95,83 ,64 , >95
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,72 ,62 , 83,... ,... , ...,61 ,51 , 69
C̫te d'Ivoire,48 ,38 , 60,52 ,41 , 66,56 ,45 , 71,63 ,50 , 80
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,32 ,26 , 36,38 ,31 , 44,48 ,39 , 56,62 ,51 , 73
Denmark,... ,... , ...,90 ,81 , >95,... ,... , ...,... ,... , ...
Djibouti,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Dominica,,,,... ,... , ...,... ,... , ...,... ,... , ...
Dominican Republic,... ,... , ...,... ,... , ...,74 ,58 , 94,82 ,64 , >95
Ecuador,... ,... , ...,55 ,37 , 90,67 ,45 , >95,76 ,51 , >95
Egypt,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
El Salvador,60 ,48 , 71,64 ,52 , 76,69 ,56 , 81,74 ,61 , 87
Equatorial Guinea,43 ,36 , 52,45 ,37 , 55,47 ,38 , 59,49 ,39 , 64
Eritrea,79 ,59 , >95,80 ,60 , >95,81 ,60 , >95,82 ,61 , >95
Estonia,... ,... , ...,... ,... , ...,83 ,73 , 92,83 ,74 , 92
Eswatini,88 ,82 , 95,90 ,84 , >95,92 ,86 , >95,92 ,86 , >95
Ethiopia,71 ,54 , 92,74 ,57 , >95,76 ,58 , >95,79 ,60 , >95
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Finland,89 ,71 , >95,90 ,72 , >95,90 ,72 , >95,91 ,72 , >95
France,... ,... , ...,88 ,74 , >95,... ,... , ...,... ,... , ...
Gabon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gambia,27 ,22 , 34,29 ,23 , 36,30 ,25 , 38,36 ,29 , 46
Georgia,... ,... , ...,... ,... , ...,... ,... , ...,59 ,51 , 68
Germany,86 ,70 , >95,87 ,71 , >95,87 ,71 , >95,... ,... , ...
Ghana,48 ,41 , 56,51 ,43 , 59,54 ,45 , 62,57 ,48 , 66
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guatemala,56 ,51 , 60,58 ,54 , 63,61 ,56 , 66,62 ,57 , 68
Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guinea-Bissau,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guyana,71 ,64 , 80,84 ,76 , 95,88 ,78 , >95,93 ,82 , >95
Haiti,60 ,55 , 66,63 ,58 , 70,66 ,60 , 74,67 ,60 , 75
Honduras,... ,... , ...,56 ,45 , 68,59 ,47 , 71,60 ,47 , 72
Hungary,86 ,74 , >95,87 ,75 , >95,89 ,77 , >95,90 ,78 , >95
Iceland,... ,... , ...,... ,... , ...,76 ,68 , 84,80 ,72 , 88
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,51 ,44 , 60
Iran (Islamic Republic of),31 ,19 , 53,33 ,20 , 57,34 ,20 , 63,36 ,20 , 69
Ireland,... ,... , ...,... ,... , ...,86 ,75 , >95,90 ,78 , >95
Israel,... ,... , ...,... ,... , ...,87 ,77 , >95,... ,... , ...
Italy,... ,... , ...,92 ,79 , >95,... ,... , ...,... ,... , ...
Jamaica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,86 ,79 , 92,86 ,79 , 92,87 ,80 , 93,88 ,81 , 94
Kenya,84 ,71 , >95,87 ,74 , >95,89 ,76 , >95,89 ,76 , >95
Kuwait,52 ,48 , 57,59 ,54 , 63,62 ,56 , 67,67 ,60 , 73
Kyrgyzstan,58 ,45 , 78,61 ,47 , 82,65 ,49 , 88,68 ,52 , 92
Lao People's Democratic Republic,... ,... , ...,... ,... , ...,76 ,67 , 87,85 ,75 , >95
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,81 ,72 , 90,82 ,73 , 91,87 ,77 , >95,91 ,80 , >95
Lesotho,72 ,68 , 77,77 ,72 , 82,81 ,76 , 87,86 ,80 , 92
Liberia,60 ,54 , 66,62 ,57 , 70,65 ,59 , 73,68 ,62 , 76
Libya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Luxembourg,... ,... , ...,... ,... , ...,83 ,73 , 92,86 ,75 , >95
Madagascar,5 ,4 , 6,7 ,6 , 9,8 ,7 , 11,11 ,8 , 15
Malawi,80 ,71 , 87,84 ,75 , 91,88 ,78 , 95,90 ,80 , >95
Malaysia,83 ,73 , 95,85 ,75 , >95,86 ,76 , >95,86 ,77 , >95
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mali,31 ,25 , 38,32 ,25 , 40,32 ,25 , 40,33 ,26 , 41
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,45 ,37 , 55,49 ,40 , 60,55 ,44 , 68,62 ,50 , 79
Mauritius,21 ,18 , 24,21 ,17 , 24,22 ,18 , 26,22 ,18 , 26
Mexico,59 ,52 , 68,64 ,55 , 74,66 ,57 , 75,76 ,65 , 86
Mongolia,32 ,28 , 36,34 ,30 , 39,36 ,32 , 40,38 ,33 , 42
Montenegro,51 ,43 , 58,56 ,47 , 64,56 ,47 , 64,55 ,46 , 64
Morocco,60 ,48 , 81,65 ,52 , 87,70 ,56 , 93,76 ,60 , >95
Mozambique,60 ,48 , 74,64 ,51 , 79,68 ,55 , 84,72 ,58 , 89
Myanmar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Namibia,82 ,76 , 88,85 ,78 , 91,90 ,83 , >95,91 ,84 , >95
Nepal,... ,... , ...,... ,... , ...,... ,... , ...,71 ,63 , 82
Netherlands,88 ,81 , 94,88 ,81 , 95,90 ,81 , >95,... ,... , ...
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Niger,57 ,49 , 67,60 ,51 , 71,64 ,54 , 76,72 ,60 , 86
Nigeria,54 ,40 , 72,59 ,44 , 79,64 ,47 , 85,67 ,49 , 89
North Macedonia,... ,... , ...,... ,... , ...,55 ,49 , 64,59 ,51 , 69
Norway,94 ,85 , >95,95 ,85 , >95,>95 ,87 , >95,>95 ,88 , >95
Oman,... ,... , ...,... ,... , ...,... ,... , ...,48 ,44 , 53
Pakistan,... ,... , ...,... ,... , ...,... ,... , ...,14 ,13 , 16
Panama,63 ,56 , 69,65 ,58 , 71,68 ,61 , 74,70 ,64 , 77
Papua New Guinea,... ,... , ...,... ,... , ...,... ,... , ...,87 ,77 , >95
Paraguay,... ,... , ...,... ,... , ...,... ,... , ...,71 ,54 , >95
Peru,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Philippines,... ,... , ...,68 ,58 , 80,74 ,62 , 86,76 ,64 , 89
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,87 ,76 , >95,89 ,78 , >95,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,... ,... , ...,39 ,31 , 51,49 ,39 , 63,54 ,43 , 70
Romania,84 ,74 , 91,84 ,74 , 92,85 ,75 , 93,87 ,77 , 94
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,88 ,78 , >95,90 ,80 , >95,92 ,81 , >95,94 ,83 , >95
Saint Kitts and Nevis,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Saint Lucia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Saint Vincent and the Grenadines,77 ,67 , 86,74 ,64 , 83,72 ,62 , 81,70 ,60 , 79
Sao Tome and Principe,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Senegal,50 ,44 , 56,53 ,47 , 60,57 ,50 , 64,65 ,57 , 74
Serbia,85 ,65 , >95,84 ,63 , >95,85 ,62 , >95,86 ,61 , >95
Sierra Leone,38 ,31 , 46,42 ,34 , 51,45 ,36 , 55,49 ,39 , 60
Singapore,70 ,63 , 77,73 ,66 , 81,77 ,69 , 84,... ,... , ...
Slovakia,... ,... , ...,... ,... , ...,69 ,52 , >95,69 ,52 , >95
Slovenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Somalia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
South Africa,85 ,77 , 91,87 ,79 , 93,89 ,81 , >95,90 ,83 , >95
South Sudan,15 ,11 , 18,18 ,14 , 22,21 ,16 , 26,24 ,18 , 30
Spain,... ,... , ...,86 ,76 , >95,... ,... , ...,... ,... , ...
Sri Lanka,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Sudan,19 ,11 , 30,22 ,12 , 36,25 ,12 , 44,27 ,12 , 51
Suriname,... ,... , ...,... ,... , ...,... ,... , ...,60 ,40 , 86
Sweden,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Switzerland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Syrian Arab Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tajikistan,39 ,32 , 47,44 ,36 , 53,50 ,41 , 60,58 ,47 , 70
Thailand,76 ,66 , 88,81 ,71 , 94,87 ,77 , >95,94 ,82 , >95
Timor-Leste,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Togo,63 ,58 , 68,66 ,61 , 71,69 ,64 , 75,73 ,68 , 79
Trinidad and Tobago,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tunisia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkey,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkmenistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uganda,76 ,71 , 81,78 ,74 , 84,81 ,76 , 87,84 ,78 , 90
Ukraine,65 ,61 , 70,68 ,63 , 73,71 ,66 , 76,71 ,66 , 77
United Arab Emirates,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Kingdom,... ,... , ...,... ,... , ...,92 ,77 , >95,... ,... , ...
United Republic of Tanzania,64 ,57 , 70,69 ,62 , 76,74 ,66 , 81,78 ,70 , 85
United States,... ,... , ...,86 ,76 , 95,... ,... , ...,... ,... , ...
Uruguay,73 ,56 , 92,76 ,57 , >95,79 ,57 , >95,82 ,58 , >95
Uzbekistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Venezuela (Bolivarian Republic of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Viet Nam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Yemen,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Zambia,78 ,70 , 89,81 ,72 , 92,84 ,75 , >95,87 ,78 , >95
Zimbabwe,82 ,71 , 94,86 ,74 , >95,88 ,77 , >95,90 ,78 , >95
Global,70 ,59,82,73 ,62,86,76 ,65,89,79 ,67,92